Player Name,Team,Games Played,Goals Per Team Goals %,Assists Per Team Assists %,Points Per Team Points %,Shots Per Team Shots %,PIM Per Team PIM %,Player Age
"Schneider, Braden",Wheat Kings,66,0.004016064257028112,0.08433734939759036,0.08835341365461848,0.2570281124497992,0.0642570281124498,16.490809697098882,"
"
"Sambrook, Garrett",Wheat Kings,13,0.0,0.029411764705882353,0.029411764705882353,0.16176470588235295,0.11764705882352941,17.80567142016267,"
"
"Higson, Schael",Wheat Kings,71,0.01858736059479554,0.08550185873605948,0.10408921933085502,0.41263940520446096,0.4312267657992565,19.85841842328681,"
"
"Jensen, Kade",Wheat Kings,25,0.019230769230769232,0.028846153846153848,0.04807692307692308,0.28846153846153844,0.38461538461538464,20.583951194808908,"
"
"Jensen, Kade",Royals,33,0.03787878787878788,0.05303030303030303,0.09090909090909091,0.4696969696969697,0.8106060606060606,20.87818524207256,"
"
"Hooker, Jonny",Wheat Kings,40,0.022222222222222223,0.037037037037037035,0.05925925925925926,0.2740740740740741,0.13333333333333333,16.392078257250486,"
"
"Mattheos, Stelio",Wheat Kings,68,0.16475095785440613,0.18007662835249041,0.3448275862068966,0.8544061302681992,0.3486590038314176,18.765266338295767,"
"
"Lewis, Ty",Wheat Kings,70,0.1660377358490566,0.21132075471698114,0.37735849056603776,0.8981132075471698,0.22641509433962265,20.041973632211466,"
"
"Bettens, Rylan",Wheat Kings,49,0.036458333333333336,0.036458333333333336,0.07291666666666667,0.2552083333333333,0.041666666666666664,18.088555524785214,"
"
"Kaspick, Tanner",Wheat Kings,35,0.08108108108108109,0.16891891891891891,0.25,0.75,0.49324324324324326,19.95593175391255,"
"
"Kaspick, Tanner",Royals,25,0.13829787234042554,0.14893617021276595,0.2872340425531915,0.8829787234042553,0.3404255319148936,20.139015601269186,"
"
"Sekundiak, Marcus",Wheat Kings,61,0.017699115044247787,0.022123893805309734,0.03982300884955752,0.25663716814159293,0.07079646017699115,17.913211104419084,"
"
"McCallum, Lynden",Wheat Kings,5,0.0,0.0,0.0,0.06666666666666667,0.0,17.727910958904108,"
"
"McCartney, Ben",Wheat Kings,51,0.010309278350515464,0.05154639175257732,0.061855670103092786,0.28865979381443296,0.16494845360824742,16.68127689422294,"
"
"Reinhardt, Cole",Wheat Kings,68,0.07116104868913857,0.056179775280898875,0.12734082397003746,0.42696629213483145,0.149812734082397,18.12965142360434,"
"
"Gutenberg, Connor",Wheat Kings,72,0.06642066420664207,0.12915129151291513,0.19557195571955718,0.4870848708487085,0.15867158671586715,18.540610328001495,"
"
"McCorrister, Linden",Wheat Kings,59,0.09049773755656108,0.10407239819004525,0.19457013574660634,0.5384615384615384,0.14027149321266968,19.987120271862562,"
"
"Thompson, Baron",Wheat Kings,60,0.05803571428571429,0.05803571428571429,0.11607142857142858,0.39732142857142855,0.20982142857142858,19.079391569787845,"
"
"Wytinck, Zach",Wheat Kings,68,0.015810276679841896,0.07509881422924901,0.09090909090909091,0.1976284584980237,0.16205533596837945,18.99540483439454,"
"
"Ettinger, Ty",Wheat Kings,45,0.012048192771084338,0.030120481927710843,0.04216867469879518,0.12048192771084337,0.3433734939759036,18.115309250599825,"
"
"Zamula, Egor",Pats,38,0.0,0.05737704918032787,0.05737704918032787,0.2540983606557377,0.11475409836065574,17.781389773083028,"
"
"Zamula, Egor",Hitmen,31,0.021052631578947368,0.09473684210526316,0.11578947368421053,0.49473684210526314,0.25263157894736843,17.973540314725817,"
"
"Gavlas, Parker",Pats,8,0.0,0.0,0.0,0.06896551724137931,0.2413793103448276,18.60049229452055,"
"
"Smart, Jonathan",Pats,21,0.028169014084507043,0.14084507042253522,0.16901408450704225,0.6619718309859155,0.352112676056338,18.453995500851985,"
"
"Smart, Jonathan",ICE,47,0.02877697841726619,0.12949640287769784,0.15827338129496402,0.697841726618705,0.2733812949640288,18.79739548402145,"
"
"de Wit, Jeff",Pats,7,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.3333333333333333,0.2962962962962963,19.5746147260274,"
"
"de Wit, Jeff",ICE,15,0.04,0.04,0.08,0.4,0.04,19.767661734803085,"
"
"de Wit, Jeff",Royals,21,0.09876543209876543,0.07407407407407407,0.1728395061728395,0.5555555555555556,0.04938271604938271,20.012346246797744,"
"
"Sloboshan, Wyatt",Pats,36,0.03571428571428571,0.09821428571428571,0.13392857142857142,0.8928571428571429,0.3125,20.905866708278523,"
"
"Buziak, Braydon",Pats,32,0.020202020202020204,0.050505050505050504,0.0707070707070707,0.45454545454545453,0.5656565656565656,19.899603633826267,"
"
"Buziak, Braydon",Royals,34,0.023622047244094488,0.03937007874015748,0.06299212598425197,0.2047244094488189,0.6535433070866141,20.15005088513398,"
"
"Lockner, Bryan",Pats,39,0.05737704918032787,0.040983606557377046,0.09836065573770492,0.6147540983606558,0.20491803278688525,17.76278105282897,"
"
"Lockner, Bryan",Tigers,31,0.06862745098039216,0.06862745098039216,0.13725490196078433,0.5686274509803921,0.18627450980392157,17.9565875870316,"
"
"Oksanen, Emil",Pats,58,0.08465608465608465,0.1693121693121693,0.25396825396825395,0.8359788359788359,0.12698412698412698,19.48293145932281,"
"
"Pierce, Duncan",Pats,17,0.0,0.018518518518518517,0.018518518518518517,0.1111111111111111,0.3888888888888889,17.747237155862052,"
"
"Morrisseau, Koby",Pats,47,0.0379746835443038,0.0379746835443038,0.0759493670886076,0.3291139240506329,0.14556962025316456,17.405654398465305,"
"
"Platt, Bryce",Pats,60,0.021052631578947368,0.010526315789473684,0.031578947368421054,0.3368421052631579,0.5052631578947369,19.83747634156186,"
"
"King, George",Pats,18,0.08196721311475409,0.01639344262295082,0.09836065573770492,0.3114754098360656,0.09836065573770492,19.407761309898063,"
"
"King, George",Raiders,5,0.0,0.0,0.0,0.10526315789473684,0.10526315789473684,19.504965753424656,"
"
"Nijhoff, Logan",Pats,30,0.03,0.03,0.06,0.33,0.15,16.71789929333513,"
"
"Holmes, Robbie",Pats,68,0.06926406926406926,0.05627705627705628,0.12554112554112554,0.5974025974025974,0.31601731601731603,18.661013671012856,"
"
"Davidson, Dawson",Pats,43,0.051470588235294115,0.14705882352941177,0.19852941176470587,0.6029411764705882,0.22794117647058823,19.762214069959796,"
"
"Davidson, Dawson",Blades,26,0.03529411764705882,0.15294117647058825,0.18823529411764706,0.6235294117647059,0.3764705882352941,19.952204260352538,"
"
"Williams, Owen",Pats,28,0.0,0.011363636363636364,0.011363636363636364,0.18181818181818182,0.06818181818181818,17.28823914680987,"
"
"Williams, Owen",Thunderbirds,30,0.0,0.05,0.05,0.15,0.14,17.477503900929058,"
"
"Schioler, Liam",Pats,65,0.0,0.04128440366972477,0.04128440366972477,0.3211009174311927,0.38990825688073394,20.151374851384904,"
"
"Bradley, Matt",Pats,72,0.15163934426229508,0.1721311475409836,0.3237704918032787,1.25,0.36885245901639346,21.15690408220034,"
"
"Hines, Dallas",ICE,59,0.023391812865497075,0.08771929824561403,0.1111111111111111,0.4678362573099415,0.18128654970760233,20.108402318277832,"
"
"Fleury, Cale",ICE,17,0.11764705882352941,0.0784313725490196,0.19607843137254902,0.7254901960784313,0.5294117647058824,18.98515052272849,"
"
"Fleury, Cale",Pats,51,0.03468208092485549,0.2023121387283237,0.23699421965317918,0.7514450867052023,0.2947976878612717,19.332246547953766,"
"
"Patrick, Zachary",ICE,41,0.0,0.05309734513274336,0.05309734513274336,0.23008849557522124,0.23893805309734514,16.663717674503765,"
"
"Huston, Sam",ICE,61,0.01092896174863388,0.04918032786885246,0.060109289617486336,0.23497267759562843,0.06557377049180328,18.766552063426378,"
"
"Pouliot, Ryan",ICE,64,0.010416666666666666,0.041666666666666664,0.052083333333333336,0.4739583333333333,0.421875,19.80601831516546,"
"
"Baer, Alec",ICE,71,0.13875598086124402,0.14832535885167464,0.28708133971291866,1.0334928229665072,0.19138755980861244,20.56451939226861,"
"
"Hausinger, Cameron",ICE,69,0.10396039603960396,0.10891089108910891,0.21287128712871287,0.693069306930693,0.24257425742574257,19.180957748432995,"
"
"Sheen, Barrett",ICE,18,0.0392156862745098,0.09803921568627451,0.13725490196078433,0.27450980392156865,1.0,19.149444642785475,"
"
"Sheen, Barrett",Warriors,42,0.014705882352941176,0.05392156862745098,0.06862745098039216,0.20098039215686275,0.6666666666666666,19.47757598869088,"
"
"Taphorn, Keenan",ICE,60,0.03260869565217391,0.07608695652173914,0.10869565217391304,0.43478260869565216,0.06521739130434782,18.205407146938576,"
"
"Bodak, Martin",ICE,58,0.04093567251461988,0.12280701754385964,0.16374269005847952,0.8128654970760234,0.3567251461988304,19.30424212328837,"
"
"Veloso, Colton",ICE,70,0.12195121951219512,0.0975609756097561,0.21951219512195122,0.7560975609756098,0.23414634146341465,20.72616322788428,"
"
"Kohler, Gilian",ICE,54,0.03773584905660377,0.06289308176100629,0.10062893081761007,0.4088050314465409,0.050314465408805034,17.8000592343465,"
"
"Loschiavo, Vince",ICE,28,0.08641975308641975,0.07407407407407407,0.16049382716049382,1.0740740740740742,0.14814814814814814,19.72945249290907,"
"
"Loschiavo, Vince",Warriors,40,0.06629834254143646,0.06077348066298342,0.1270718232044199,0.4861878453038674,0.06629834254143646,19.998173014499116,"
"
"Krebs, Peyton",ICE,66,0.08121827411167512,0.18274111675126903,0.2639593908629442,0.6395939086294417,0.20304568527918782,17.139861858022037,"
"
"King, Michael",ICE,55,0.047337278106508875,0.04142011834319527,0.08875739644970414,0.2603550295857988,0.05917159763313609,18.08228559039814,"
"
"Kroeker, Colton",ICE,67,0.0707070707070707,0.22727272727272727,0.29797979797979796,0.8636363636363636,0.1111111111111111,21.154381250290648,"
"
"Davis, Brett",ICE,71,0.11961722488038277,0.14354066985645933,0.2631578947368421,0.9521531100478469,0.1674641148325359,18.79739610459738,"
"
"Sidaway, Tanner",ICE,5,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.8461538461538461,18.44640410958904,"
"
"Sidaway, Tanner",Pats,58,0.0,0.014925373134328358,0.014925373134328358,0.31840796019900497,0.32338308457711445,18.88784243022164,"
"
"LaPointe, Jakob",Hitmen,1,0.0,0.0,0.0,0.0,3.5,19.353424657534248,"
"
"Toder, Layne",Hitmen,70,0.004608294930875576,0.041474654377880185,0.04608294930875576,0.3271889400921659,0.3225806451612903,18.214636205131324,"
"
"van de Leest, Jackson",Hitmen,36,0.009523809523809525,0.0380952380952381,0.047619047619047616,0.37142857142857144,0.2857142857142857,16.571853956664285,"
"
"Esposito, Drea",Hitmen,47,0.006622516556291391,0.046357615894039736,0.052980132450331126,0.15894039735099338,0.07947019867549669,18.18215842200137,"
"
"Yeryomenko, Vladislav",Hitmen,63,0.06770833333333333,0.14583333333333334,0.21354166666666666,0.765625,0.15625,18.910526616074083,"
"
"Stukel, Jakob",Hitmen,71,0.167420814479638,0.12217194570135746,0.2895927601809955,1.081447963800905,0.18099547511312217,21.04203346472623,"
"
"Malenstyn, Beck",Hitmen,4,0.0,0.21428571428571427,0.21428571428571427,0.35714285714285715,0.0,19.659931506849315,"
"
"Malenstyn, Beck",Broncos,38,0.11564625850340136,0.08163265306122448,0.19727891156462585,0.7142857142857143,0.19047619047619047,20.12132946965163,"
"
"Kastelic, Mark",Hitmen,71,0.10648148148148148,0.10185185185185185,0.20833333333333334,0.8935185185185185,0.6157407407407407,19.028334835222033,"
"
"Nielsen, Tristen",Hitmen,49,0.1292517006802721,0.10884353741496598,0.23809523809523808,0.9659863945578231,0.23129251700680273,18.061284544380534,"
"
"Kryski, Jake",Hitmen,71,0.07339449541284404,0.1834862385321101,0.25688073394495414,0.6559633027522935,0.19724770642201836,20.036554013350152,"
"
"Grishakov, Andrei",Hitmen,37,0.09482758620689655,0.12931034482758622,0.22413793103448276,0.6810344827586207,0.29310344827586204,18.640585245546678,"
"
"Grishakov, Andrei",Royals,32,0.06504065040650407,0.04065040650406504,0.10569105691056911,0.3983739837398374,0.13821138211382114,18.84046248773317,"
"
"Gennaro, Matteo",Hitmen,22,0.2028985507246377,0.15942028985507245,0.36231884057971014,1.4782608695652173,0.3188405797101449,20.650816741055007,"
"
"Gennaro, Matteo",Broncos,45,0.16470588235294117,0.15294117647058825,0.3176470588235294,0.9588235294117647,0.25882352941176473,20.973384263822904,"
"
"Gurney, Justyn",Hitmen,54,0.006493506493506494,0.01948051948051948,0.025974025974025976,0.22077922077922077,0.577922077922078,17.43243046413427,"
"
"Huber, Zach",Hitmen,56,0.011560693641618497,0.017341040462427744,0.028901734104046242,0.21965317919075145,0.13872832369942195,18.13243849560989,"
"
"Coleman, Luke",Hitmen,72,0.06756756756756757,0.10810810810810811,0.17567567567567569,0.8243243243243243,0.12162162162162163,19.529704698282007,"
"
"Zimmerman, Cael",Hitmen,66,0.0297029702970297,0.0594059405940594,0.0891089108910891,0.3069306930693069,0.1188118811881188,17.17052346018338,"
"
"Fyten, Andrew",Hitmen,40,0.04838709677419355,0.08064516129032258,0.12903225806451613,0.5161290322580645,0.46774193548387094,19.245826580276074,"
"
"Fyten, Andrew",Broncos,29,0.02564102564102564,0.03418803418803419,0.05982905982905983,0.3076923076923077,0.4188034188034188,19.42896030919805,"
"
"Murray, Jameson",Hitmen,28,0.010869565217391304,0.05434782608695652,0.06521739130434782,0.17391304347826086,0.06521739130434782,18.914951265654338,"
"
"Murray, Jameson",Silvertips,7,0.0,0.0,0.0,0.25,0.0,19.078938356164386,"
"
"Paivarinta, Cody",Raiders,14,0.0,0.0,0.0,0.23076923076923078,0.5384615384615384,19.430923252889556,"
"
"Hayes, Zack",Raiders,71,0.012448132780082987,0.058091286307053944,0.07053941908713693,0.33195020746887965,0.4066390041493776,18.903175803997133,"
"
"Budik, Vojtech",Raiders,63,0.06572769953051644,0.1267605633802817,0.19248826291079812,0.7699530516431925,0.20187793427230047,20.13468128476322,"
"
"Pachal, Brayden",Raiders,68,0.03056768558951965,0.08296943231441048,0.11353711790393013,0.6506550218340611,0.5240174672489083,18.570299091668367,"
"
"Martin, Max",Raiders,72,0.03305785123966942,0.09917355371900827,0.1322314049586777,0.5330578512396694,0.14049586776859505,18.653642696519114,"
"
"Moe, Spencer",Raiders,72,0.0371900826446281,0.05371900826446281,0.09090909090909091,0.4669421487603306,0.08264462809917356,18.198848175971168,"
"
"Warkentine, Drew",Raiders,2,0.0,0.0,0.0,1.0,0.6666666666666666,19.012328767123286,"
"
"Jerome, D-Jay",Raiders,31,0.0,0.011111111111111112,0.011111111111111112,0.2222222222222222,0.5555555555555556,18.16021278341084,"
"
"Jerome, D-Jay",Royals,13,0.0,0.0,0.0,0.08,0.34,18.35879775791952,"
"
"Rhinehart, Rhett",Raiders,31,0.0,0.011363636363636364,0.011363636363636364,0.4431818181818182,0.18181818181818182,16.100044323766785,"
"
"Rhinehart, Rhett",Cougars,28,0.0379746835443038,0.012658227848101266,0.05063291139240506,0.3670886075949367,0.31645569620253167,16.307249892799007,"
"
"Johnson, Kolby",Raiders,2,0.0,0.0,0.0,0.0,3.0,19.37945205479452,"
"
"Miske, Curtis",Raiders,72,0.1115702479338843,0.15289256198347106,0.2644628099173554,0.7024793388429752,0.12396694214876033,21.171450915697196,"
"
"Stallard, Jordy",Raiders,72,0.18181818181818182,0.19421487603305784,0.3760330578512397,1.024793388429752,0.10743801652892562,20.502957765012265,"
"
"Sottile, Brock",Raiders,10,0.0,0.029411764705882353,0.029411764705882353,0.14705882352941177,0.6176470588235294,18.22662136130137,"
"
"Miller, Carson",Raiders,69,0.004347826086956522,0.030434782608695653,0.034782608695652174,0.26956521739130435,0.2956521739130435,18.105697491039656,"
"
"Pearce, Eric",Raiders,49,0.024242424242424242,0.012121212121212121,0.03636363636363636,0.15757575757575756,0.03636363636363636,16.636452179775166,"
"
"Fonstad, Cole",Raiders,72,0.08677685950413223,0.21487603305785125,0.30165289256198347,0.6322314049586777,0.024793388429752067,17.902957765012264,"
"
"Montgomery, Sean",Raiders,72,0.049586776859504134,0.07024793388429752,0.11983471074380166,0.7231404958677686,0.049586776859504134,20.03720434035473,"
"
"Skoleski, Devon",Raiders,38,0.07079646017699115,0.07964601769911504,0.1504424778761062,0.4690265486725664,0.1415929203539823,20.30278414645109,"
"
"Woo, Jett",Warriors,44,0.045,0.08,0.125,0.415,0.215,17.644736063225388,"
"
"Paradis, Colin",Warriors,37,0.0056179775280898875,0.016853932584269662,0.02247191011235955,0.12921348314606743,0.08426966292134831,19.694629565670994,"
"
"Paradis, Colin",Rebels,28,0.012345679012345678,0.1111111111111111,0.12345679012345678,0.2222222222222222,0.09876543209876543,19.89308908359237,"
"
"Almeida, Justin",Warriors,72,0.13230769230769232,0.16923076923076924,0.30153846153846153,0.6861538461538461,0.03076923076923077,19.11598123367719,"
"
"Jeannot, Tanner",Warriors,72,0.12307692307692308,0.12307692307692308,0.24615384615384617,0.8492307692307692,0.2553846153846154,20.809131918608696,"
"
"Halbgewachs, Jayden",Warriors,72,0.2153846153846154,0.18153846153846154,0.39692307692307693,0.8923076923076924,0.036923076923076927,20.99543328847171,"
"
"Kwiatkowski, Brenden",Warriors,22,0.0,0.009900990099009901,0.009900990099009901,0.06930693069306931,0.019801980198019802,17.427162691665025,"
"
"Smithies, Tyler",Warriors,36,0.0070921985815602835,0.028368794326241134,0.03546099290780142,0.15602836879432624,0.014184397163120567,17.641869935161857,"
"
"Wood, Brecon",Warriors,27,0.023255813953488372,0.007751937984496124,0.031007751937984496,0.11627906976744186,0.1937984496124031,17.27680812073897,"
"
"Popple, Tate",Warriors,71,0.018691588785046728,0.04984423676012461,0.06853582554517133,0.1806853582554517,0.04361370716510903,18.04474835696486,"
"
"Burke, Brayden",Warriors,61,0.10877192982456141,0.28771929824561404,0.39649122807017545,0.6280701754385964,0.19298245614035087,21.177051317376836,"
"
"Klatt, Branden",Warriors,69,0.022435897435897436,0.02564102564102564,0.04807692307692308,0.1987179487179487,0.10256410256410256,19.414611368358642,"
"
"Gregor, Noah",Warriors,30,0.1044776119402985,0.16417910447761194,0.26865671641791045,0.8432835820895522,0.27611940298507465,19.378593429305575,"
"
"Gregor, Noah",Royals,30,0.14423076923076922,0.1346153846153846,0.27884615384615385,1.2211538461538463,0.27884615384615385,19.643202212774387,"
"
"Langan, Tristin",Warriors,70,0.05063291139240506,0.08227848101265822,0.13291139240506328,0.4430379746835443,0.10443037974683544,19.25662000160095,"
"
"Benson, Matthew",Warriors,49,0.0,0.05339805825242718,0.05339805825242718,0.1796116504854369,0.21359223300970873,17.313604983334677,"
"
"Burzan, Luka",Warriors,42,0.0297029702970297,0.06435643564356436,0.09405940594059406,0.5495049504950495,0.04950495049504951,18.006534103746883,"
"
"Burzan, Luka",Wheat Kings,30,0.09278350515463918,0.12371134020618557,0.21649484536082475,0.5876288659793815,0.10309278350515463,18.198144574315375,"
"
"DeRoose, Tristyn",Warriors,47,0.01904761904761905,0.014285714285714285,0.03333333333333333,0.11428571428571428,0.3523809523809524,19.137896736058806,"
"
"Sosunov, Oleg",Warriors,71,0.021875,0.059375,0.08125,0.390625,0.25625,19.93515931586897,"
"
"Zaitsev, Dmitri",Warriors,61,0.02127659574468085,0.07801418439716312,0.09929078014184398,0.2695035460992908,0.09929078014184398,20.148824563286478,"
"
"Addison, Calen",Hurricanes,67,0.04741379310344827,0.23275862068965517,0.2801724137931034,0.8060344827586207,0.27155172413793105,17.938567085227884,"
"
"Prefontaine, Ty",Hurricanes,70,0.021367521367521368,0.08547008547008547,0.10683760683760683,0.5470085470085471,0.2222222222222222,19.18245922180649,"
"
"Yewchuk, Kyle",Hurricanes,8,0.0,0.038461538461538464,0.038461538461538464,0.23076923076923078,0.3076923076923077,19.641416952054794,"
"
"Estephan, Giorgio",Hurricanes,39,0.13138686131386862,0.291970802919708,0.4233576642335766,0.8248175182481752,0.24817518248175183,20.931656366617613,"
"
"Estephan, Giorgio",Broncos,30,0.1,0.13333333333333333,0.23333333333333334,0.75,0.23333333333333334,21.124069195694915,"
"
"Zudilov, Egor",Hurricanes,63,0.03431372549019608,0.0784313725490196,0.11274509803921569,0.6323529411764706,0.14705882352941177,17.522185055208645,"
"
"Merezhko, Igor",Hurricanes,70,0.02100840336134454,0.11764705882352941,0.13865546218487396,0.5294117647058824,0.31092436974789917,19.88930853687498,"
"
"Harke, Shawn",Hurricanes,26,0.01282051282051282,0.0,0.01282051282051282,0.1794871794871795,0.16666666666666666,18.06880072885997,"
"
"Bellerive, Jordy",Hurricanes,70,0.19246861924686193,0.19246861924686193,0.38493723849372385,1.3347280334728033,0.35564853556485354,18.88382908482019,"
"
"Tarzwell, Josh",Hurricanes,28,0.028846153846153848,0.10576923076923077,0.1346153846153846,0.38461538461538464,0.16346153846153846,17.83803722105206,"
"
"Tarzwell, Josh",Rebels,40,0.058823529411764705,0.05042016806722689,0.1092436974789916,0.6218487394957983,0.13445378151260504,18.106789143328825,"
"
"Nagel, Tanner",Hurricanes,35,0.024193548387096774,0.04032258064516129,0.06451612903225806,0.4274193548387097,0.4032258064516129,19.950834440653793,"
"
"Nagel, Tanner",Broncos,22,0.022727272727272728,0.011363636363636364,0.03409090909090909,0.25,0.75,20.12380741981611,"
"
"Elmer, Jake",Hurricanes,69,0.07264957264957266,0.0811965811965812,0.15384615384615385,0.47863247863247865,0.23931623931623933,19.218075660162654,"
"
"Vandervlis, Ryan",Hurricanes,19,0.15714285714285714,0.11428571428571428,0.2714285714285714,0.7428571428571429,0.05714285714285714,19.5240403580339,"
"
"Joseph, Jadon",Hurricanes,53,0.054878048780487805,0.1402439024390244,0.1951219512195122,0.4573170731707317,0.10975609756097561,18.829034563658087,"
"
"Cozens, Dylan",Hurricanes,57,0.10576923076923077,0.14903846153846154,0.2548076923076923,0.6971153846153846,0.09615384615384616,17.104644025859628,"
"
"Franklin, Zane",Hurricanes,66,0.06222222222222222,0.10666666666666667,0.1688888888888889,0.4,0.22666666666666666,19.204377030012793,"
"
"Davis, Jayden",Hurricanes,11,0.02564102564102564,0.0,0.02564102564102564,0.3333333333333333,0.05128205128205128,17.988966181506846,"
"
"Pouteau, Brady",Hurricanes,31,0.009345794392523364,0.09345794392523364,0.102803738317757,0.27102803738317754,0.19626168224299065,20.006560890067828,"
"
"Pouteau, Brady",Pats,28,0.0,0.01904761904761905,0.01904761904761905,0.37142857142857144,0.2,20.19252052060137,"
"
"Wilson, Koletrane",Hurricanes,58,0.015306122448979591,0.04081632653061224,0.05612244897959184,0.2193877551020408,0.1989795918367347,18.54958250947318,"
"
"MacPhee, Cameron",Tigers,20,0.011235955056179775,0.0,0.011235955056179775,0.14606741573033707,0.5168539325842697,18.53544846103616,"
"
"MacPhee, Cameron",Cougars,26,0.014084507042253521,0.028169014084507043,0.04225352112676056,0.29577464788732394,0.971830985915493,18.839107785404543,"
"
"Baker, Daniel",Tigers,11,0.0,0.027777777777777776,0.027777777777777776,0.4722222222222222,0.0,16.785600385273973,"
"
"MacPherson, Dylan",Tigers,67,0.016597510373443983,0.07468879668049792,0.0912863070539419,0.46887966804979253,0.08298755186721991,19.883884584627403,"
"
"Kohler, Mick",Tigers,4,0.0,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.14285714285714285,19.607876712328768,"
"
"Hamblin, James",Tigers,70,0.084,0.172,0.256,0.832,0.12,18.896313614421796,"
"
"Anderson, Baxter",Tigers,45,0.006369426751592357,0.025477707006369428,0.03184713375796178,0.21656050955414013,0.12101910828025478,18.006531732884433,"
"
"Rybinski, Henry",Tigers,63,0.013333333333333334,0.04,0.05333333333333334,0.24,0.08,16.727558734779166,"
"
"Jevne, Ryan",Tigers,69,0.08097165991902834,0.10931174089068826,0.1902834008097166,0.6720647773279352,0.1862348178137652,19.948368408935004,"
"
"Gerlach, Max",Tigers,35,0.1322314049586777,0.15702479338842976,0.2892561983471074,0.9504132231404959,0.2644628099173554,19.768393037128675,"
"
"Gerlach, Max",Blades,30,0.19,0.16,0.35,0.8,0.06,19.960459208013873,"
"
"Haden, Gary",Tigers,70,0.06692913385826772,0.0984251968503937,0.16535433070866143,0.6968503937007874,0.13385826771653545,19.153847860997097,"
"
"Heathcote, Dawson",Tigers,47,0.037037037037037035,0.018518518518518517,0.05555555555555555,0.2839506172839506,0.037037037037037035,18.19145729069269,"
"
"Preziuso, Tyler",Tigers,66,0.07053941908713693,0.06639004149377593,0.13692946058091288,0.5186721991701245,0.07883817427385892,19.164806586522847,"
"
